Nome,Email,Telefono,Azienda,Città
Dr. Marco Dentista,marco.dentista@email.it,+39 333 1234567,Studio Dentistico Sorriso,Milano
Dott.ssa Laura Ortodonzia,laura@ortodonzia.com,02-12345678,Centro Ortodontico Milano,Milano
Prof. Giovanni Implantologia,giovanni.impl@gmail.com,338-9876543,Clinica Implantare,Roma
Dr. Francesca Pediatrica,francesca.ped@libero.it,06 87654321,Dentisti per Bambini,Roma
Dott. Roberto Chirurgia,roberto.chir@pec.it,+39 347 5555555,Chirurgia Maxillo-Facciale,Napoli
Dr.ssa Elena Estetica,elena@estetica-dentale.it,081-3333333,Estetica Dentale Elena,Napoli
Prof. Antonio Parodontologia,antonio.paro@univ.it,340-7777777,Università Odontoiatria,Firenze
Dott. Michele Protesi,michele.protesi@studio.com,055-9999999,Studio Protesi Dentarie,Firenze
Dr. Silvia Conservativa,silvia.cons@dentisti.org,333-4444444,Conservativa & Endodonzia,Bologna
Dott.ssa Maria Prevenzione,maria@prevenzione.net,051-2222222,Centro Prevenzione Orale,Bologna
